incident_ID,attribution_ID,attribution_date,attribution_type,attribution_basis,attributing_actor,attribution_it_company,attributing_country,attributed_initiator,attributed_initiator_country,attributed_initiator_category
2,8664.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,Not available,,Not available,Azerbaijan,Non-state-group
3,3.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Liazor,Armenia,Non-state-group
4,4.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,,China,Unknown - not attributed
5,5.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Honker Union,China,Non-state-group
6,6.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,,United States,Non-state-group
7,7.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Antijapan,"Korea, Republic of",Non-state-group
8,8661.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,Not available,,Not available,Unknown,Non-state-group
9,8662.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,Not available,,Not available,Pakistan,Non-state-group
10,10.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attribution by third-party,,,,NSA/Equation Group,United States,State
11,11.0,2005-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,,China,"Non-state actor, state-affiliation suggested"
11,12.0,2005-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,,China,"Non-state actor, state-affiliation suggested"
13,15.0,2009-01-01,"Attribution given, type unclear",Attribution by third-party,,,,,"Korea, Democratic People's Republic of",State
14,8666.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,Not available,,,China,Individual hacker(s)
14,8665.0,,"Attribution given, type unclear",Media-based attribution,,Not available,,,China,Individual hacker(s)
15,18.0,2004-01-01,"Attribution given, type unclear",Attribution by third-party,,,,,China,"Non-state actor, state-affiliation suggested"
16,8677.0,2015-01-01,Political statement/report and indictment / sanctions,Attribution by receiver government / state entity,,Not available,,NSA/Equation Group,United States,State
16,8676.0,2015-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Media-based attribution,,Not available,,NSA/Equation Group,United States,State
17,8371.0,,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Media-based attribution,,Not available,,Not available,China,Not available
17,8371.0,,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Media-based attribution,,Not available,,Not available,"Korea, Republic of",Not available
18,22.0,2015-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"APT30/Naikon/G0013 (PLA, Unit 78020)",China,"Non-state actor, state-affiliation suggested"
18,22.0,2015-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,PLA Unit 78020,China,"Non-state actor, state-affiliation suggested"
19,6712.0,,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,Poseidon Group,Brazil,Non-state-group
20,24.0,,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,,Kyrgyzstan,Unknown - not attributed
21,25.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,NSA/Equation Group,United States,State
21,26.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,,,NSA/Equation Group,United States,State
22,27.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,NSA/Equation Group,United States,State
22,28.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,,,NSA/Equation Group,United States,State
23,1750.0,2014-01-01,Domestic legal action,Attribution by receiver government / state entity,,Not available,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",China,State
23,1750.0,2014-01-01,Domestic legal action,Attribution by receiver government / state entity,,Not available,,PLA Unit 61398,China,State
24,30.0,2006-01-01,Statement in media report and political statement/technical report,Attribution by receiver government / state entity,,,,,China,State
25,31.0,2011-01-01,Statement in media report and political statement/technical report,IT-security community attributes attacker,,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",China,"Non-state actor, state-affiliation suggested"
25,31.0,2011-01-01,Statement in media report and political statement/technical report,IT-security community attributes attacker,,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",China,Non-state-group
25,31.0,2011-01-01,Statement in media report and political statement/technical report,IT-security community attributes attacker,,,,PLA Unit 61398,China,"Non-state actor, state-affiliation suggested"
25,31.0,2011-01-01,Statement in media report and political statement/technical report,IT-security community attributes attacker,,,,PLA Unit 61398,China,Non-state-group
25,33.0,2011-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Contested attribution,,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",China,"Non-state actor, state-affiliation suggested"
25,33.0,2011-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Contested attribution,,,,PLA Unit 61398,China,"Non-state actor, state-affiliation suggested"
25,32.0,2011-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attribution by third-party,,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",China,"Non-state actor, state-affiliation suggested"
25,32.0,2011-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attribution by third-party,,,,PLA Unit 61398,China,"Non-state actor, state-affiliation suggested"
26,34.0,2018-01-01,Domestic legal action,Attribution by receiver government / state entity,,,,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)",China,"Non-state actor, state-affiliation suggested"
26,35.0,2018-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,"APT10/Stone Panda/MenuPass Team/Cloud Hopper/Red Apollo/Cicada/POTASSIUM/BRONZE RIVERSIDE/CVNX/HOGFISH/G0045 (MSS, Tianjin State Security Bureau)",China,"Non-state actor, state-affiliation suggested"
27,36.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,NSA/Equation Group,United States,State
27,37.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,,,NSA/Equation Group,United States,State
28,38.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,,Unknown,Non-state-group
