ID,receiver_country,receiver_region,receiver_name,receiver_category,receiver_category_subcode
2,Armenia,ASIA; CENTAS; CSTO,Not available,State institutions / political system,
2,Armenia,ASIA; CENTAS; CSTO,Not available,Media,
2,Armenia,ASIA; CENTAS; CSTO,Not available,Other,
3,Azerbaijan,ASIA; CENTAS,,Social groups,Advocacy / activists (e.g. human rights organizations)
3,Azerbaijan,ASIA; CENTAS,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
3,Azerbaijan,ASIA; CENTAS,,End user(s) / specially protected groups,
3,Azerbaijan,ASIA; CENTAS,,Other,
4,Taiwan,ASIA; SCS,,State institutions / political system,Government / ministries
5,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
5,United States,NATO; NORTHAM,,State institutions / political system,
6,China,ASIA; SCS; EASIA; NEA; SCO,,Other,
7,Japan,ASIA; SCS; NEA,,Social groups,
7,Japan,ASIA; SCS; NEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
7,Japan,ASIA; SCS; NEA,,End user(s) / specially protected groups,
8,Afghanistan,ASIA; SASIA,,Critical infrastructure,Health
9,India,ASIA; SASIA; SCO,Not available,Media,
10,United States,NATO; NORTHAM,,State institutions / political system,Legislative
10,United States,NATO; NORTHAM,,State institutions / political system,Civil service / administration
10,United States,NATO; NORTHAM,,State institutions / political system,Election infrastructure / related systems
10,United States,NATO; NORTHAM,,Social groups,Religious
10,United States,NATO; NORTHAM,,End user(s) / specially protected groups,
10,United States,NATO; NORTHAM,,Science,
11,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
11,United States,NATO; NORTHAM,,State institutions / political system,Military
11,United States,NATO; NORTHAM,,Critical infrastructure,Defence industry
11,United Kingdom,EUROPE; NATO; EU; NORTHEU,,State institutions / political system,Government / ministries
11,United Kingdom,EUROPE; NATO; EU; NORTHEU,,State institutions / political system,Military
11,United Kingdom,EUROPE; NATO; EU; NORTHEU,,Critical infrastructure,Defence industry
13,"Korea, Republic of",ASIA; SCS; NEA,,State institutions / political system,Government / ministries
13,"Korea, Republic of",ASIA; SCS; NEA,,State institutions / political system,Military
13,"Korea, Republic of",ASIA; SCS; NEA,,State institutions / political system,Police
13,"Korea, Republic of",ASIA; SCS; NEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
13,"Korea, Republic of",ASIA; SCS; NEA,,Science,
14,Taiwan,ASIA; SCS,,State institutions / political system,Government / ministries
14,Taiwan,ASIA; SCS,,State institutions / political system,Political parties
15,"Korea, Republic of",ASIA; SCS; NEA,,State institutions / political system,Government / ministries
16,Greece,EUROPE; NATO; EU; BALKANS,,State institutions / political system,Political parties
16,Greece,EUROPE; NATO; EU; BALKANS,,International / supranational organization,
16,Greece,EUROPE; NATO; EU; BALKANS,,Other,
17,Japan,ASIA; SCS; NEA,,State institutions / political system,Government / ministries
17,Japan,ASIA; SCS; NEA,,Social groups,Religious
17,Japan,ASIA; SCS; NEA,,End user(s) / specially protected groups,
17,Japan,ASIA; SCS; NEA,,Science,
17,Japan,ASIA; SCS; NEA,,State institutions / political system,Police
18,India,ASIA; SASIA; SCO,,State institutions / political system,Government / ministries
18,India,ASIA; SASIA; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,India,ASIA; SASIA; SCO,,Media,
18,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
18,United States,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,United States,NATO; NORTHAM,,Media,
18,Vietnam,ASIA; SCS; SEA,,State institutions / political system,Government / ministries
18,Vietnam,ASIA; SCS; SEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,Vietnam,ASIA; SCS; SEA,,Media,
18,Myanmar,ASIA; SEA,,State institutions / political system,Government / ministries
18,Myanmar,ASIA; SEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,Myanmar,ASIA; SEA,,Media,
18,Philippines,ASIA; SCS; SEA,,State institutions / political system,Government / ministries
18,Philippines,ASIA; SCS; SEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,Philippines,ASIA; SCS; SEA,,Media,
18,"Korea, Republic of",ASIA; SCS; NEA,,State institutions / political system,Government / ministries
18,"Korea, Republic of",ASIA; SCS; NEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,"Korea, Republic of",ASIA; SCS; NEA,,Media,
18,Singapore,ASIA,,State institutions / political system,Government / ministries
18,Singapore,ASIA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,Singapore,ASIA,,Media,
18,Saudi Arabia,ASIA; MENA; MEA; GULFC,,State institutions / political system,Government / ministries
18,Saudi Arabia,ASIA; MENA; MEA; GULFC,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,Saudi Arabia,ASIA; MENA; MEA; GULFC,,Media,
18,Thailand,ASIA; SEA,,State institutions / political system,Government / ministries
18,Thailand,ASIA; SEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
18,Thailand,ASIA; SEA,,Media,
19,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
19,United States,NATO; NORTHAM,,Critical infrastructure,Energy
19,United States,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
19,United States,NATO; NORTHAM,,Media,
19,United States,NATO; NORTHAM,,Critical infrastructure,Finance
19,Brazil,SOUTHAM,,State institutions / political system,Government / ministries
19,Brazil,SOUTHAM,,Critical infrastructure,Energy
19,Brazil,SOUTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
19,Brazil,SOUTHAM,,Media,
19,Brazil,SOUTHAM,,Critical infrastructure,Finance
19,France,EUROPE; NATO; EU; WESTEU,,State institutions / political system,Government / ministries
19,France,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Energy
19,France,EUROPE; NATO; EU; WESTEU,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
19,France,EUROPE; NATO; EU; WESTEU,,Media,
19,France,EUROPE; NATO; EU; WESTEU,,Critical infrastructure,Finance
19,Kazakhstan,ASIA; CSTO; SCO,,State institutions / political system,Government / ministries
19,Kazakhstan,ASIA; CSTO; SCO,,Critical infrastructure,Energy
19,Kazakhstan,ASIA; CSTO; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
19,Kazakhstan,ASIA; CSTO; SCO,,Media,
19,Kazakhstan,ASIA; CSTO; SCO,,Critical infrastructure,Finance
19,United Arab Emirates,ASIA; MENA; MEA; GULFC,,State institutions / political system,Government / ministries
19,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Critical infrastructure,Energy
19,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
19,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Media,
19,United Arab Emirates,ASIA; MENA; MEA; GULFC,,Critical infrastructure,Finance
19,India,ASIA; SASIA; SCO,,State institutions / political system,Government / ministries
19,India,ASIA; SASIA; SCO,,Critical infrastructure,Energy
19,India,ASIA; SASIA; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
19,India,ASIA; SASIA; SCO,,Media,
19,India,ASIA; SASIA; SCO,,Critical infrastructure,Finance
19,Russia,EUROPE; EASTEU; CSTO; SCO,,State institutions / political system,Government / ministries
19,Russia,EUROPE; EASTEU; CSTO; SCO,,Critical infrastructure,Energy
19,Russia,EUROPE; EASTEU; CSTO; SCO,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
19,Russia,EUROPE; EASTEU; CSTO; SCO,,Media,
19,Russia,EUROPE; EASTEU; CSTO; SCO,,Critical infrastructure,Finance
20,Kyrgyzstan,ASIA; CENTAS; CSTO; SCS,,State institutions / political system,Political parties
20,Kyrgyzstan,ASIA; CENTAS; CSTO; SCS,,State institutions / political system,Election infrastructure / related systems
20,Kyrgyzstan,ASIA; CENTAS; CSTO; SCS,,Social groups,Advocacy / activists (e.g. human rights organizations)
20,Kyrgyzstan,ASIA; CENTAS; CSTO; SCS,,End user(s) / specially protected groups,
20,Kyrgyzstan,ASIA; CENTAS; CSTO; SCS,,Media,
21,Qatar,ASIA; MENA; MEA; GULFC,,Media,
22,Russia,EUROPE; EASTEU; CSTO; SCO,,Critical infrastructure,Transportation
23,United States,NATO; NORTHAM,,Social groups,Advocacy / activists (e.g. human rights organizations)
23,United States,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
24,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
24,United States,NATO; NORTHAM,,State institutions / political system,Military
25,United States,NATO; NORTHAM,,State institutions / political system,Government / ministries
25,United States,NATO; NORTHAM,,International / supranational organization,
25,United States,NATO; NORTHAM,,Critical infrastructure,Energy
25,United States,NATO; NORTHAM,,Critical infrastructure,Telecommunications
25,United States,NATO; NORTHAM,,Critical infrastructure,Defence industry
25,United States,NATO; NORTHAM,,Social groups,Other social groups
25,United States,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,United States,NATO; NORTHAM,,Media,
25,Canada,NATO; NORTHAM,,State institutions / political system,Government / ministries
25,Canada,NATO; NORTHAM,,International / supranational organization,
25,Canada,NATO; NORTHAM,,Critical infrastructure,Energy
25,Canada,NATO; NORTHAM,,Critical infrastructure,Telecommunications
25,Canada,NATO; NORTHAM,,Critical infrastructure,Defence industry
25,Canada,NATO; NORTHAM,,Social groups,Other social groups
25,Canada,NATO; NORTHAM,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,Canada,NATO; NORTHAM,,Media,
25,"Korea, Republic of",ASIA; SCS; NEA,,State institutions / political system,Government / ministries
25,"Korea, Republic of",ASIA; SCS; NEA,,International / supranational organization,
25,"Korea, Republic of",ASIA; SCS; NEA,,Critical infrastructure,Energy
25,"Korea, Republic of",ASIA; SCS; NEA,,Critical infrastructure,Telecommunications
25,"Korea, Republic of",ASIA; SCS; NEA,,Critical infrastructure,Defence industry
25,"Korea, Republic of",ASIA; SCS; NEA,,Social groups,Other social groups
25,"Korea, Republic of",ASIA; SCS; NEA,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,"Korea, Republic of",ASIA; SCS; NEA,,Media,
25,Taiwan,ASIA; SCS,,State institutions / political system,Government / ministries
25,Taiwan,ASIA; SCS,,International / supranational organization,
25,Taiwan,ASIA; SCS,,Critical infrastructure,Energy
25,Taiwan,ASIA; SCS,,Critical infrastructure,Telecommunications
25,Taiwan,ASIA; SCS,,Critical infrastructure,Defence industry
25,Taiwan,ASIA; SCS,,Social groups,Other social groups
25,Taiwan,ASIA; SCS,,Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),
25,Taiwan,ASIA; SCS,,Media,
